위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.82136665,127.1272256,LED,52,2,1,0,395.1956932688127,0,495.5217591486165,5,47.53
36.80995015,127.1288008,LED,81,1,3,0,480.6554603911521,0,356.3226858086039,5,47.53
36.82901493,127.103931,LED,59,0,0,0,969.8932148436118,0,351.95196518436046,5,47.54
36.79316679,127.122546,나트륨,88,6,2,1,234.02617984303623,0,324.4163056214145,2,47.54
36.79830578,127.1461322,LED,76,1,1,1,64.72994690028948,0,732.7431110189069,5,47.54
36.83203504,127.1122935,나트륨,74,1,1,0,461.85612767589873,0,850.126874621532,2,47.54
36.78941458,127.1438522,LED,45,0,0,0,1057.8294188068437,0,609.4200399793828,5,47.54
36.8226859,127.1523889,LED,119,3,2,3,234.75718468823632,0,442.9074448161629,5,47.54
36.7986168,127.109299,CDM,101,2,2,1,241.9581237221676,0,342.3198315213757,4,47.54
36.80414914,127.1587078,LED,89,4,4,0,766.0959033579717,1,240.67056339862296,5,47.55
36.82495561,127.1501564,LED,107,3,0,3,261.52300451423366,0,368.1920592559358,5,47.55
36.82058114,127.1076395,CDM,140,7,2,1,271.5305532244149,3,246.54272619542456,4,47.55
36.8054569,127.1450028,나트륨,117,7,2,1,190.67806004890733,1,97.64334969142288,2,47.55
36.83029496,127.1619537,LED,101,0,1,0,862.6416813758661,1,215.8009435288818,5,47.55
36.80311069,127.1397207,LED,80,5,1,2,91.61696595019632,0,346.34062830273825,5,47.55
36.8339287,127.1256954,나트륨,75,5,3,0,569.2082073515738,0,370.08609659304886,2,47.56
36.8390433,127.1424995,LED,85,5,0,0,474.6829627506401,2,165.52982747413196,5,47.56
36.82150827,127.1018165,CDM,61,3,2,0,798.2987788201596,0,351.27460385500734,4,47.56
36.8303487,127.1063233,나트륨,79,0,0,0,956.5280503335232,0,590.3302519135353,2,47.56
36.8390159,127.1550567,나트륨,73,1,0,0,1005.4267632695638,0,516.7017819376449,2,47.56
36.78457645,127.1374154,LED,53,0,0,0,1043.696057221872,0,443.9859297932033,5,47.56
36.82493981,127.150176,LED,107,3,0,3,259.75396746828375,0,367.4777471318267,5,47.56
36.82225173,127.1253496,나트륨,100,5,3,1,273.35617327203664,0,394.271321315044,2,47.56
36.83721835,127.1145076,나트륨,85,0,2,0,348.5286286895909,0,995.4836927464112,2,47.56
36.83092845,127.1128089,나트륨,79,1,1,0,513.8619808038621,0,723.1878591091361,2,47.56
36.80997451,127.1291903,LED,82,1,3,0,459.8055047920663,0,334.25068400740685,5,47.57
36.80916771,127.1432223,LED,93,5,6,1,286.47530127727345,0,345.03147539663223,5,47.57
36.78494486,127.1476808,CDM,79,7,2,0,1426.9188566250475,2,114.02941569833588,4,47.57
36.78905822,127.1198366,CDM,97,2,5,0,623.5358161565905,0,311.5654231586164,4,47.57
36.83115152,127.1078994,나트륨,73,0,0,0,848.7204435545078,0,752.0153035178876,2,47.57
36.79383262,127.1644539,LED,63,2,3,0,646.2641232298328,0,480.9031019294424,5,47.57
36.83904283,127.110503,나트륨,67,1,0,0,732.3588485686441,0,736.8217034993165,2,47.57
36.81037367,127.1068196,CDM,229,8,11,6,197.44052262170365,0,351.26864068172,4,47.57
36.82295645,127.1526744,LED,121,3,2,3,198.98451111901508,0,407.1096052795567,5,47.57
36.79092722,127.1137866,LED,69,0,1,0,936.9579862743238,0,303.6044074271884,5,47.57
36.79611045,127.1609601,LED,70,3,5,0,734.057827594908,0,434.4375413740356,5,47.57
36.80134739,127.1078211,메탈,223,3,11,3,213.1827308315584,1,271.280112586198,5,47.58
36.79924452,127.1089387,CDM,136,2,3,1,265.5040567314495,1,297.32283319020723,4,47.58
36.79145303,127.163292,LED,65,5,1,0,407.5292235552444,1,210.5880616815597,5,47.58
36.82416817,127.1101033,나트륨,114,5,2,2,200.307872245554,0,404.4049174444274,2,47.58
36.7874115,127.159645,CDM,98,4,3,0,476.49589017235854,1,213.24268785849875,4,47.58
36.79072199,127.1273457,LED,95,8,8,0,425.61941409638894,1,125.67593471144478,5,47.58
36.83924335,127.1422694,LED,84,5,0,0,445.3717821775722,2,191.76732116005687,5,47.58
36.8015959,127.1070371,CDM,218,3,13,3,142.2928397863093,0,341.44678140435434,4,47.58
36.82776719,127.1408498,LED,82,10,8,2,95.5555514267079,0,477.9359445580508,5,47.58
36.78385344,127.1292501,CDM,59,3,1,0,399.5142631260029,0,375.9050091250493,4,47.58
36.8167336,127.1580922,LED,69,10,6,2,229.70594024649856,0,389.4664597308865,5,47.58
36.83907774,127.1117194,나트륨,65,1,0,0,661.1343243235832,0,798.1433845485885,2,47.59
36.81056709,127.1063408,CDM,232,9,12,6,196.30579850384905,0,320.8907702178017,4,47.59
36.82319101,127.118895,LED,91,3,3,1,223.9533389235748,0,300.688359002912,5,47.59
36.79849362,127.1097332,CDM,85,2,0,1,268.3592279010989,0,341.52320635470943,4,47.59
36.83196642,127.165295,LED,56,0,1,0,1212.4223480366077,0,472.1090002855176,5,47.59
