관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,주변 학교 수,가장 가까운 학교와의 거리,광원 등급
천안시 동남구,건설과,,36.73172438,127.0978775,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1514.8068040604944,4
천안시 동남구,건설과,,36.7322115,127.0986198,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1448.660774721753,4
천안시 동남구,건설과,,36.73269862,127.0993621,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1384.6353364913302,4
천안시 동남구,건설과,,36.73307425,127.1000623,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1335.740910205407,4
천안시 동남구,건설과,,36.73299765,127.100065,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1344.1943484634637,4
천안시 동남구,건설과,,36.73248016,127.1006283,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1397.6917661474415,4
천안시 동남구,건설과,,36.73273156,127.1003753,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1371.2926399550706,4
천안시 동남구,건설과,,36.73195581,127.1013035,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1453.8230013748266,4
천안시 동남구,건설과,,36.72901115,127.096164,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1844.1970882848357,4
천안시 동남구,건설과,,36.73010832,127.096087,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1728.5723880950973,4
천안시 동남구,건설과,,36.73064875,127.0963983,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1663.1376980197265,4
천안시 동남구,건설과,,36.73084675,127.0966981,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1634.7413400264904,4
천안시 동남구,건설과,,36.73105375,127.0970174,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1605.1842406609778,4
천안시 동남구,건설과,,36.72936635,127.0961439,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1806.555523052113,4
천안시 동남구,건설과,,36.72862438,127.0962008,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1884.937167921903,4
천안시 동남구,건설과,,36.72788241,127.0962577,풍세면보성리lp-B,풍세면 용정리 1044,CML,2024-07-23,0,1947.997776287855,4
